	mock1_1	mock2_1	salt_1h_1	salt_2h_1	heat_1h_1	heat_2h_1	mock1_2	mock2_2	salt_1h_2	salt_2h_2	heat_1h_2	heat_2h_2
ENSG00000143256	10.7835	12.3465	7.2236	9.0192	11.396	8.7291	9.5973	9.7654	7.0161	7.5162	11.7609	7.6671
ENSG00000158793	1.4178	1.5067	0.5894	0.3566	0.729	0.6698	1.2404	1.7264	0.4519	0.2851	0.8774	0.4165
ENSG00000158796	4.2053	4.5892	2.1991	2.548	2.9897	1.6935	4.7123	4.2072	1.7011	2.3787	2.7673	1.6914
ENSG00000143222	4.5146	4.1715	3.1705	2.8551	4.7425	3.8496	4.9919	4.6516	3.1009	2.8251	4.9922	3.7287
ENSG00000143258	1.6711	1.7869	1.0023	0.9035	2.4832	1.8048	1.8651	1.6644	0.7806	0.9801	2.6524	2.167
ENSG00000143224	0.6791	0.7426	0.2487	0.1594	0.4442	0.8212	0.924	0.7175	0.1913	0.1657	0.4996	0.7978
ENSG00000158850	1.7921	2.1207	0.8255	0.7912	1.2132	0.4604	2.1625	2.127	0.4583	0.5023	1.1553	0.4621
ENSG00000158859	1.3151	1.4691	0.868	0.5235	0.8135	0.4249	1.3225	1.2825	0.4739	0.4308	0.614	0.3525
ENSG00000158864	4.9331	5.7435	3.2231	2.8522	4.4831	2.9432	5.1569	5.3717	2.3645	2.2597	4.163	2.7828
ENSG00000158869	0.4057	0.3226	0.4348	0.2806	0.5737	0.6875	0.1549	0.4245	0.2032	0.1979	0.5807	0.6354
ENSG00000268387	0	0	0	0	0.2394	0.7173	0	0	0.6359	0	0.6732	0.1396
ENSG00000158874	0	0	0	0	0	0	0	0.0333	0	0	0	0
ENSG00000158882	1.4618	1.6183	0.7935	0.6734	0.5265	0.6238	1.229	1.3511	0.4582	0.6157	0.7627	0.4994
ENSG00000143257	0	0.0059	0	0	0	0	0	0	0	0	0	0.0195
ENSG00000248485	0	0	0	0.0543	0	0.0194	0	0	0.0344	0.1117	0	0.0453
ENSG00000158887	0.2118	0.1895	0.013	0	0.0385	0.0513	0.104	0.2338	0	0.0295	0.0578	0.0898
ENSG00000143252	6.473	6.1771	3.6076	4.0104	7.2495	4.5522	5.6364	5.5179	3.1122	2.3844	6.0536	4.2741
ENSG00000188931	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235477	1.7315	1.4415	1.2836	0.8127	2.02	1.9256	1.6532	1.6899	1.7072	0.5632	2.1515	1.8555
ENSG00000273075	0.1689	0.1679	0.3378	0	0.3821	0.7154	0.258	0.0544	0.5074	0.0549	0.4835	1.1136
ENSG00000143226	0.0061	0	0	0	0	0.1039	0	0	0.0092	0	0.0117	0.0667
ENSG00000173110	0.0862	0.022	0.0317	0.0292	200.8733	300.0703	0.0847	0.0357	0.037	0	253.7184	427.0012
ENSG00000203747	0	0	0	0.013	0	0	0	0	0	0	0	0
ENSG00000072694	0	0	0	0	0	0.0079	0	0	0	0	0.0044	0.0046
ENSG00000162747	0	0.0066	0	0	0	0	0	0	0	0	0	0.0109
ENSG00000132185	0.209	0.2196	0.128	0.059	0.1858	0.1349	0.0912	0.2019	0.1346	0.1457	0.2184	0.1181
