"GFP-1" "GFP-2" "GFP-3" "HS-GFP-1" "HS-GFP-2" "HS-GFP-3" "WT-1" "WT-2" "WT-3" "HS-WT-1" "HS-WT-2" "HS-WT-3"
"ENSG00000188984" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000229259" 0 1 0 1 0 0 0 0 0 0 0 0
"ENSG00000270171" 0 0 0 0 0 1 0 0 0 1 0 1
"ENSG00000158008" 6 12 13 4 3 1 10 10 6 8 9 5
"ENSG00000269732" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000130940" 174 206 261 120 98 171 250 257 294 309 283 239
"ENSG00000116771" 182 252 312 186 157 247 157 175 256 145 135 88
"ENSG00000237301" 3 5 6 5 9 5 4 7 10 9 7 2
"ENSG00000162585" 436 641 767 768 604 870 593 564 674 630 543 419
"ENSG00000163879" 0 1 3 9 8 11 3 1 2 294 290 229
"ENSG00000227527" 1 2 0 1 0 2 2 1 3 1 1 1
"ENSG00000228823" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000010803" 340 456 535 593 390 649 424 476 510 450 350 295
"ENSG00000169991" 464 557 617 1106 869 1496 759 771 838 274 219 203
"ENSG00000116954" 188 181 227 201 197 344 248 255 282 519 468 388
"ENSG00000228589" 12 10 19 12 8 8 16 22 15 22 12 17
"ENSG00000163873" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000233431" 0 0 0 0 0 2 0 0 0 2 3 0
"ENSG00000117215" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000196449" 350 458 517 619 561 1101 380 422 420 620 555 466
"ENSG00000250575" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000237700" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000116661" 1104 1738 2036 1722 1425 2219 1842 2064 2298 2911 2385 2303
"ENSG00000230163" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000227538" 0 0 0 1 0 0 0 0 0 1 1 0
"ENSG00000232208" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000162461" 3 6 5 11 7 14 1 1 5 12 7 6
"ENSG00000236500" 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000044012" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000179051" 2950 3652 4404 2196 1731 2960 3009 3138 3561 1905 1701 1358
"ENSG00000215895" 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000231868" 0 0 0 0 0 0 1 0 0 2 1 0
"ENSG00000284650" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000237329" 0 0 0 0 0 0 0 0 1 0 0 1
"ENSG00000236948" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000270850" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000287510" 0 0 0 0 0 0 0 0 0 8 5 1
"ENSG00000126067" 2816 3207 3802 4605 3291 5700 2860 3012 3155 2895 2787 2121
"ENSG00000274944" 0 0 1 0 0 0 1 0 1 0 0 0
"ENSG00000132906" 951 1175 1425 253 180 345 722 777 894 738 643 531
